MACCS_Bit_0,MACCS_Bit_1,MACCS_Bit_2,MACCS_Bit_3,MACCS_Bit_4,MACCS_Bit_5,MACCS_Bit_6,MACCS_Bit_7,MACCS_Bit_8,MACCS_Bit_9,MACCS_Bit_10,MACCS_Bit_11,MACCS_Bit_12,MACCS_Bit_13,MACCS_Bit_14,MACCS_Bit_15,MACCS_Bit_16,MACCS_Bit_17,MACCS_Bit_18,MACCS_Bit_19,MACCS_Bit_20,MACCS_Bit_21,MACCS_Bit_22,MACCS_Bit_23,MACCS_Bit_24,MACCS_Bit_25,MACCS_Bit_26,MACCS_Bit_27,MACCS_Bit_28,MACCS_Bit_29,MACCS_Bit_30,MACCS_Bit_31,MACCS_Bit_32,MACCS_Bit_33,MACCS_Bit_34,MACCS_Bit_35,MACCS_Bit_36,MACCS_Bit_37,MACCS_Bit_38,MACCS_Bit_39,MACCS_Bit_40,MACCS_Bit_41,MACCS_Bit_42,MACCS_Bit_43,MACCS_Bit_44,MACCS_Bit_45,MACCS_Bit_46,MACCS_Bit_47,MACCS_Bit_48,MACCS_Bit_49,MACCS_Bit_50,MACCS_Bit_51,MACCS_Bit_52,MACCS_Bit_53,MACCS_Bit_54,MACCS_Bit_55,MACCS_Bit_56,MACCS_Bit_57,MACCS_Bit_58,MACCS_Bit_59,MACCS_Bit_60,MACCS_Bit_61,MACCS_Bit_62,MACCS_Bit_63,MACCS_Bit_64,MACCS_Bit_65,MACCS_Bit_66,MACCS_Bit_67,MACCS_Bit_68,MACCS_Bit_69,MACCS_Bit_70,MACCS_Bit_71,MACCS_Bit_72,MACCS_Bit_73,MACCS_Bit_74,MACCS_Bit_75,MACCS_Bit_76,MACCS_Bit_77,MACCS_Bit_78,MACCS_Bit_79,MACCS_Bit_80,MACCS_Bit_81,MACCS_Bit_82,MACCS_Bit_83,MACCS_Bit_84,MACCS_Bit_85,MACCS_Bit_86,MACCS_Bit_87,MACCS_Bit_88,MACCS_Bit_89,MACCS_Bit_90,MACCS_Bit_91,MACCS_Bit_92,MACCS_Bit_93,MACCS_Bit_94,MACCS_Bit_95,MACCS_Bit_96,MACCS_Bit_97,MACCS_Bit_98,MACCS_Bit_99,MACCS_Bit_100,MACCS_Bit_101,MACCS_Bit_102,MACCS_Bit_103,MACCS_Bit_104,MACCS_Bit_105,MACCS_Bit_106,MACCS_Bit_107,MACCS_Bit_108,MACCS_Bit_109,MACCS_Bit_110,MACCS_Bit_111,MACCS_Bit_112,MACCS_Bit_113,MACCS_Bit_114,MACCS_Bit_115,MACCS_Bit_116,MACCS_Bit_117,MACCS_Bit_118,MACCS_Bit_119,MACCS_Bit_120,MACCS_Bit_121,MACCS_Bit_122,MACCS_Bit_123,MACCS_Bit_124,MACCS_Bit_125,MACCS_Bit_126,MACCS_Bit_127,MACCS_Bit_128,MACCS_Bit_129,MACCS_Bit_130,MACCS_Bit_131,MACCS_Bit_132,MACCS_Bit_133,MACCS_Bit_134,MACCS_Bit_135,MACCS_Bit_136,MACCS_Bit_137,MACCS_Bit_138,MACCS_Bit_139,MACCS_Bit_140,MACCS_Bit_141,MACCS_Bit_142,MACCS_Bit_143,MACCS_Bit_144,MACCS_Bit_145,MACCS_Bit_146,MACCS_Bit_147,MACCS_Bit_148,MACCS_Bit_149,MACCS_Bit_150,MACCS_Bit_151,MACCS_Bit_152,MACCS_Bit_153,MACCS_Bit_154,MACCS_Bit_155,MACCS_Bit_156,MACCS_Bit_157,MACCS_Bit_158,MACCS_Bit_159,MACCS_Bit_160,MACCS_Bit_161,MACCS_Bit_162,MACCS_Bit_163,MACCS_Bit_164,MACCS_Bit_165,MACCS_Bit_166
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,1,1,0,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,1,1,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,1,1,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0
